J2835	1	ia	IS	
J2833	1	ia	IS	
J2831	1	ia	IS	
J2829	1	ia		
J2827	0	ia		
J2825	1	ia		
J2823	1	ia		
J2821	0	ia		
J2819	0			
J2817	1	ia		
J2815	1	ia		
J2813	1	ia		
J2811	1	ia		
J2809	1	ia		
J2807	1	ia	IS	
J2805	1	ia		
J2803	1	ia	IS	
J2801	0	ia	IS	
J2832	0	ia	IS	
J2830	0	ia	IS	
J2828	0	ia	IS	
J2826	0	ia		
J2814	0	ia		
J2810	0	ia		
J2806	0	ia		
J2802	0	ia		
J2735	1	ia	IS	
J2733	1	ia	IS	
J2731	1	ia	IS	
J2729	0	ia		
J2727	1	ia		
J2725	1	ia	IS	
J2723	1	ia		
J2721	1	ia	IS	
J2719	0			
J2717	1	ia		
J2715	1	ia		
J2713	1	ia		
J2711	1	ia	IS	
J2709	1	ia		
J2707	1	ia		
J2705	1	ia	IS	
J2703	1	ia		
J2701	0	ia		
J2730	0	ia	IS	
J2726	0	ia	IS	
J2714	0	ia	IS	
J2710	0	ia		
J2706	0	ia		
J2702	0	ia		
J2633	0	ia	IS	
J2631	1	ia	IS	
J2629	1	ia	IS	
J2627	1	ia	IS	
J2625	0	ia		
J2623	0	ia	IS	
J2621	0	ia	IS	
J2619	1	ia	IS	
J2617	0			
J2615	0			
J2613	0			
J2611	0			
J2609	0	cs		
J2607	1	cs		
J2605	1	cs	IS	
J2601	0	cs		
J2630	0	ia	IS	
J2626	0	ia	IS	
J2614	0	ia	IS	
J2610	0	cs		
J2606	0	cs		
J2602	0	cs	IS	
J2533	0	ia	IS	
J2531	1	ia	IS	
J2529	1	ia	IS	
J2527	0	ia	IS	
J2525	1	ia	IS	
J2523	1	ia	IS	
J2521	0	ia	IS	
J2517	0			
J2513	0	cs	IS	
J2511	1	cs	IS	
J2509	1	cs	IS	
J2507	0	cs	IS	
J2505	0	cs	IS	
J2503	1	cs	IS	
J2501	1	cs		
J2530	0	ia	IS	
J2526	0	ia	IS	
J2516	0	cs	IS	
J2510	0	cs	IS	
J2506	0	cs	IS	
J2502	0	cs	IS	
J2433	0	ia	IS	
J2431	1	ia	IS	
J2429	1	cs	IS	
J2427	1	cs	IS	
J2425	0	cs	IS	
J2423	0	cs	IS	
J2421	0	cs	IS	
J2417	0	cs	IS	
J2415	1	cs		
J2413	1	cs	IS	
J2411	0			
J2409	0	cs	IS	
J2407	1	cs	IS	
J2405	1	cs	IS	
J2403	0	cs	IS	
J2401	0	cs	IS	
J2430	0	cs	IS	
J2426	0	cs		
J2414	1	cs	IS	
J2410	0	cs	IS	
J2406	0	cs	IS	
J2402	0	cs	IS	
J2333	0	cs	IS	
J2331	0	cs	IS	
J2329	1	cs	IS	
J2325	0			
J2323	0		
J2330	0	cs	IS	
